,created,text,fav_count,retw_count,source,index
35,2021-11-08 06:20:52,"L'allarme del dg dell'Usl 2 Benazzi: «Ladri di Green pass, denunciati sei casi tra Treviso e Oderzo» https://t.co/d0tQczr3NK",1,0,gazzettino,1
36,2021-11-08 09:14:06,"Passione e Responsabilità, Alfasigma racconta il suo impegno nel Rapporto di Sostenibilità https://t.co/eDsKh1MDQP",0,1,qn_carlino,1
37,2021-11-08 09:14:03,Passione e Responsabilità per fronteggiare la pandemia https://t.co/eVplJrBeqT,0,0,qn_carlino,1
38,2021-11-09 10:30:31,"La stretta del Viminale sui cortei di protesta no Green pass
https://t.co/XmY5vkdxK2",3,0,qn_giorno,1
39,2021-11-08 09:27:22,"Gli Usa riaprono le frontiere ai vaccinati: cosa cambia per l'Europa e il mondo. Green pass, tamponi e vaccinazioni… https://t.co/pZSrE0utnZ",3,0,qn_giorno,1
0,2021-11-11 14:19:02,"Green pass: scritta choc in pub di Iseo, obbligo è come i lager. Rimosso cartello 'Il Greenpass rende liberi since… https://t.co/Kvs5sOM2I4",58,17,agenzia_ansa,0
1,2021-11-10 19:59:45,"E' stata confermata la fiducia, chiesta dal governo, sul decreto Green pass, approvato dal Senato con 199 voti favo… https://t.co/6nuf5WRoF0",11,8,agenzia_ansa,0
2,2021-11-10 17:10:09,"Il governo intende porre la questione di fiducia sul decreto che estende il Green pass nei luoghi di lavoro, all'es… https://t.co/E4n1ln0p9f",11,8,agenzia_ansa,0
3,2021-11-10 16:05:26,"""L'estensione del Green pass fino a 12 mesi potrà essere rivista in futuro se emergeranno nuovi dati o studi. Ogni… https://t.co/FgRBJfSzPO",19,10,agenzia_ansa,0
4,2021-11-10 13:44:53,"Green pass falsi, come funzionano le chat telegram che truffano. Il Vice direttore della Polizia Postale Gabrielli:… https://t.co/ATni7lgp4b",18,5,agenzia_ansa,0
5,2021-11-11 09:52:15,"Covid, Scholz: ""In Germania serve Green pass anche per lavoro""  https://t.co/zetWaYX3UC https://t.co/1tQjpGm4Wu",38,12,mediasettgcom24,0
6,2021-11-10 21:45:01,"No Green pass, circolare del Viminale ai prefetti: stop manifestazioni in aree sensibili   #nogreenpass… https://t.co/HUR4lrX9Lm",23,7,mediasettgcom24,0
7,2021-11-10 20:05:01,"Green pass, ok fiducia a dl, approvato al Senato con 199 sì  #greenpass https://t.co/WNpWvrehjP https://t.co/B8YmiyXttu",42,6,mediasettgcom24,0
8,2021-11-10 15:19:07,"Covid, Speranza: valuteremo modifica del Green Pass ai guariti  #Greenpass https://t.co/ohJBv5trQI https://t.co/8RQszJqxnl",15,3,mediasettgcom24,0
9,2021-11-10 12:17:54,"Fedriga: ""Più grande cluster in Friuli Venezia Giulia per colpa dei cortei No Green pass""  #covid… https://t.co/ebLxJOQ2Sc",91,15,mediasettgcom24,0
10,2021-11-10 10:45:00,"No Green pass, Lamorgese: tutelare cittadini, arriva direttiva  #nogreenpass https://t.co/ZmTMHxGQBR https://t.co/6VGLm1eoHz",19,3,mediasettgcom24,0
11,2021-11-10 22:55:25,"#GreenPass, scintille in tv tra Sileri e la no vax Donato. https://t.co/yeVdOlQg3w",99,16,adnkronos,0
12,2021-11-10 22:08:14,"#NoGreenPass, la stretta del Viminale: “Questori potranno vietare manifestazioni”. https://t.co/iBdQocph2o",39,19,adnkronos,0
13,2021-11-10 20:26:32,"Decreto legge #GreenPass, dal Senato ok a fiducia. https://t.co/bNZHdTmE1A",5,4,adnkronos,0
14,2021-11-10 13:33:14,"Green pass, già da sabato limiti 
alle manifestazioni a Napoli https://t.co/2zDNzahAoM",2,0,mattinodinapoli,0
15,2021-11-11 07:57:34,"Le nuove restrizioni alle manifestazioni “No Green Pass”
https://t.co/7p3CFt6icV",5,1,ilpost,0
16,2021-11-10 07:08:47,"RT @francescocosta: Oggi su Morning: cosa succede tra Polonia e Bielorussia; alle proteste No Green Pass ci sarà, ehm, obbligo di mascherin…",0,5,ilpost,0
17,2021-11-10 18:38:33,"Green Pass, il Governo pone in Senato la fiducia sul maxi-emendamento https://t.co/13JrTsNQct",6,1,lastampa,-1
18,2021-11-10 11:20:22,"Green pass falsi, truffe per decine di migliaia di euro e con furto di identità digitali: ecco come ci sono cascati

https://t.co/ZdHuJOc0Io",2,2,lastampa,-1
19,2021-11-10 09:39:49,"Picco di contagi, in Italia centomila positivi: ipotesi super Green Pass per guariti e vaccinati

https://t.co/Urv0VzGJ9y",9,2,lastampa,-1
20,2021-11-10 06:49:33,"Tamponi e Green Pass speciali, una “bolla” protegge le Finals https://t.co/blTZOA6HaT",2,0,lastampa,-1
21,2021-11-11 11:13:40,"Finte vaccinazioni ai No vax, arrestato medico di Ravenna: 79 i Green pass falsi sequestrati https://t.co/VsX3uvY1Gq",2,1,ilmessaggeroit,-1
22,2021-11-10 21:24:54,"No Green pass, stretta sui cortei: concessi solo sit-in lontano dal centro https://t.co/OPXfwzAf0w",5,2,ilmessaggeroit,-1
23,2021-11-10 18:04:31,"Passato a Cannes e al Nyff, da domani nelle sale italiane il nuovo film di Wes Anderson. Giulia D'Agnolo Vallan su https://t.co/Ug6RFG7mLs",4,1,ilmanifesto,-1
24,2021-11-10 15:23:08,"Vaccini Covid, Speranza: “Dal primo dicembre terza dose per i 40-60enni. Valuteremo la modifica del Green pass per… https://t.co/2cKyT160Ys",10,6,fattoquotidiano,-1
25,2021-11-10 08:52:02,“Tornata al lavoro la dottoressa che fingeva di vaccinare pazienti per fargli ottenere il Green pass” https://t.co/tTZPjziLqH,20,11,fattoquotidiano,-1
26,2021-11-10 07:56:06,"Green pass, Cacciari sbotta con Lilli Gruber: “Ma perché mi invita se non mi fa parlare? Mica ho bisogno di venire… https://t.co/5UrZ5xAfjj",106,21,fattoquotidiano,-1
27,2021-11-11 10:07:36,"RT @giusmo1: Green Pass, passa al Senato con il voto di fiducia l'obbligo per tutti i lavoratori https://t.co/dYrxbzPxka via @repubblica",0,4,repubblica,-1
28,2021-11-11 10:01:05,"Green Pass, passa al Senato con il voto di fiducia l'obbligo per tutti i lavoratori https://t.co/z434TmO8d4",58,4,repubblica,-1
29,2021-11-10 21:56:02,"RT @eziomauro: Stretta Viminale ai cortei No Green Pass, Pd e FI: ""Così si protegge la salute dei cittadini"". Ma Salvini: ""Lamorgese non sa…",0,2,repubblica,-1
30,2021-11-10 12:14:33,"Stretta Viminale ai cortei No Green Pass, Pd e FI: ""Così si protegge la salute dei cittadini"". Ma Salvini: ""Lamorge… https://t.co/qtxn4uqS4N",13,3,repubblica,-1
31,2021-11-10 08:04:33,"RT @Maumol: Stiamo facendo bene grazie alle scelte sui vaccini e Green Pass, ma dobbiamo fare altrettanto sulla ricostruzione https://t.co/…",0,2,repubblica,-1
