,created,text,fav_count,retw_count,source,index
0,2021-11-09 10:42:50,"#NoGreenPass, stop alle manifestazioni all’interno dei centri storici https://t.co/Qu34eMGfFc",49,14,rainews,0
1,2021-11-09 08:56:29,RT @RaiStudio24: A. #Fontana (@FontanaPres) Pres. @RegLombardia a @RaiStudio24: cortei #NoGreenPass sono ad alto rischio sanitario. Il diri…,0,1,rainews,0
2,2021-11-09 13:02:57,"No Green pass, stretta del Viminale: stop ai cortei nei centri storici  #NoGreenpass https://t.co/IGRAXKU6px https://t.co/Xh2Fwx9kmD",36,6,mediasettgcom24,0
3,2021-11-09 13:00:08,"No Green pass, stretta del Viminale: stop ai cortei nei centri storici  #NoGreenpass https://t.co/IGRAXKU6px https://t.co/DF0XiBPi0l",18,3,mediasettgcom24,0
4,2021-11-09 12:57:09,"No Green pass, stretta del Viminale: stop ai cortei nei centri storici  #NoGreenpass https://t.co/IGRAXKU6px https://t.co/pDSsZaeWzi",17,1,mediasettgcom24,0
5,2021-11-09 10:52:35,"Covid, contagi in aumento: la Danimarca reintroduce il Green pass  #Danimarca https://t.co/ghymx0indG https://t.co/wDJbVMHjtO",37,11,mediasettgcom24,0
6,2021-11-09 10:51:22,"Covid, contagi in aumento: la Danimarca reintroduce il Green pass  #Danimarca https://t.co/ghymx0indG https://t.co/h6JfH2anv6",12,5,mediasettgcom24,0
7,2021-11-09 10:46:16,"Cortei No Green pass a Trieste, Regione: focolaio supera i 200 casi  #Trieste https://t.co/58IYeoDkpU https://t.co/3fvHeOn6Ja",15,6,mediasettgcom24,0
8,2021-11-09 01:25:01,"Green pass, esercenti esasperati dalle proteste: ""Perdiamo il 30% degli incassi""  #mattinocinque… https://t.co/xcqjGDjquX",52,23,mediasettgcom24,0
9,2021-11-08 22:25:39,"Covid, la Danimarca reintroduce il Green pass   #Danimarca https://t.co/B7FP6lPE6x https://t.co/BPSaxEYHjN",95,23,mediasettgcom24,0
10,2021-11-08 07:31:44,"Covid, il piano del governo: Green pass prorogato fino all'estate, hub per la terza dose e zone rosse  #Greenpass… https://t.co/xZ3ofbNXJT",108,42,mediasettgcom24,0
11,2021-11-08 17:15:02,"#Covid, Lopalco: ""Lockdown per chi è senza #vaccino? Meglio Green pass più esteso"". https://t.co/3oVJ0Tf7c7",7,5,adnkronos,0
12,2021-11-08 13:20:02,"Green pass, occhio alle false app di verifica. #covid
https://t.co/TbWs1QNCMp",6,3,adnkronos,0
13,2021-11-08 10:39:33,"Chi c'è dietro i Green Pass falsi?
Arrestato il Baby falsario.
https://t.co/OQ6v3wWRMJ",10,4,adnkronos,0
14,2021-11-08 10:15:02,"Green pass, #Zaia: ""Proteste? Settimane di privazione libertà altri cittadini"".#covid https://t.co/fwfiblY8ZL",35,7,adnkronos,0
15,2021-11-09 06:20:13,"🔴 I cortei #NoGreenPass non potranno più attraversare centri storici e strade dello shopping 

https://t.co/Cdq17TFFHD",587,94,corriere,0
16,2021-11-08 17:25:45,"Green Pass a scuola, Tar del Lazio conferma le scelte del ministero: regole valide, nes... https://t.co/4ZyQf67JeC https://t.co/V3BmWFa9eu",1,1,corriere,0
17,2021-11-09 09:42:33,"Il Viminale decide la stretta sui No Green Pass: solo sit in e niente cortei, e lontani dal centro https://t.co/ZZSmagVrk8",38,8,lastampa,-1
18,2021-11-08 16:41:33,"Francesca Donato, la (ex) leghista No Green Pass dai talk show alla candidatura a sindaco di Palermo https://t.co/tnp0r31ByB",5,0,lastampa,-1
19,2021-11-08 05:19:02,"Mara Carfagna: “Lega ambigua su vaccini e Green Pass, Italia in ginocchio senza noi europeisti” https://t.co/tFKTM3u4jn",51,7,lastampa,-1
20,2021-11-09 08:24:02,"Zone gialle, restrizioni e Green pass: piano anti-contagi, escluso il lockdown per i No vax https://t.co/2WW1aVimJp",4,1,ilmessaggeroit,-1
21,2021-11-09 05:12:29,"L'ondata Covid in Europa: in Austria il tampone non basta più, aumentano i vaccini. In Danimarca torna il Pass https://t.co/ETrd4IJPL7",18,5,ilmessaggeroit,-1
22,2021-11-08 17:25:08,"Green pass a scuola, il Tar del Lazio: “Non introduce obbligo vaccinale indiretto. Tamponi gratis solo a chi non pu… https://t.co/ELSNHgdnYE",13,8,fattoquotidiano,-1
